Department,JobLevel,JobRole,BusinessTravel,OverTime,PerformanceRating,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,TrainingTimesLastYear,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
Research & Development,2,Healthcare Representative,Non-Travel,Yes,3,2,3,1,3,3,10,2,8,7,0,7,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,3,1,2,5,6,0,5,3,0,3,No
Sales,1,Sales Representative,Travel_Rarely,No,3,3,1,3,3,3,5,0,4,3,0,2,Yes
Sales,2,Sales Executive,Travel_Rarely,No,4,2,4,4,3,2,8,0,7,7,0,5,No
Research & Development,3,Research Director,Non-Travel,No,3,4,1,1,3,2,10,9,8,7,0,5,No
Research & Development,2,Healthcare Representative,Travel_Rarely,No,3,2,1,4,1,2,9,8,7,6,0,7,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,3,3,4,1,0,6,6,1,0,0,1,No
Research & Development,4,Research Director,Travel_Rarely,No,3,3,3,3,3,3,30,5,4,3,0,3,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,3,2,3,3,2,10,0,9,7,0,5,No
Research & Development,2,Manufacturing Director,Travel_Rarely,Yes,3,2,4,4,3,4,8,9,4,3,0,2,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,4,1,1,2,3,6,7,4,3,0,1,No
Research & Development,1,Research Scientist,Travel_Frequently,No,3,2,4,2,2,3,10,9,5,4,0,3,No
Sales,3,Sales Executive,Travel_Rarely,Yes,3,3,1,4,3,2,18,4,5,4,0,2,No
Human Resources,1,Human Resources,Travel_Rarely,No,4,2,1,1,3,3,6,0,5,4,0,3,No
Research & Development,1,Laboratory Technician,Non-Travel,No,3,3,4,4,3,2,4,0,3,0,0,2,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,3,4,4,3,2,8,3,6,4,0,2,No
Human Resources,2,Human Resources,Travel_Rarely,No,3,2,4,4,3,2,13,8,5,4,0,4,No
Human Resources,1,Human Resources,Travel_Rarely,Yes,3,3,2,4,4,4,7,3,4,3,0,3,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,2,4,1,3,5,8,6,4,3,0,3,No
Sales,2,Sales Executive,Travel_Rarely,No,3,2,3,3,3,6,10,7,5,4,0,3,No
Research & Development,3,Healthcare Representative,Travel_Rarely,Yes,3,2,2,3,3,3,24,2,6,0,0,4,No
Research & Development,1,Laboratory Technician,Non-Travel,No,4,2,2,3,3,3,5,6,3,0,0,2,No
Sales,3,Sales Executive,Travel_Rarely,No,3,3,4,4,3,2,12,6,10,9,0,8,No
Sales,3,Sales Executive,Travel_Rarely,No,3,4,3,1,3,3,9,0,8,7,0,7,No
Sales,2,Sales Executive,Non-Travel,No,3,3,4,1,3,3,12,4,7,7,0,7,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,4,4,3,2,8,3,5,3,0,2,No
Research & Development,5,Research Director,Travel_Frequently,No,3,3,3,1,4,2,21,2,18,16,0,11,No
Research & Development,1,Research Scientist,Travel_Frequently,No,3,3,3,3,2,0,3,0,2,1,0,2,No
Research & Development,3,Manufacturing Director,Travel_Rarely,No,3,3,3,4,3,3,13,6,8,7,0,7,No
Research & Development,3,Manufacturing Director,Travel_Rarely,No,3,3,3,3,3,2,22,8,10,7,0,8,No
Sales,2,Sales Executive,Non-Travel,No,3,3,3,4,3,3,19,0,18,7,0,13,No
Sales,2,Sales Executive,Travel_Rarely,No,3,4,4,2,2,2,16,0,15,1,0,9,No
Sales,3,Manager,Travel_Rarely,Yes,3,3,4,2,1,1,14,3,6,4,0,4,No
Research & Development,2,Healthcare Representative,Travel_Rarely,No,3,3,2,4,2,3,8,3,4,3,0,1,No
Research & Development,1,Research Scientist,Travel_Frequently,No,3,3,3,1,3,4,18,2,5,4,0,3,No
Research & Development,3,Manufacturing Director,Travel_Frequently,No,3,3,1,3,3,1,18,8,8,7,0,1,No
Research & Development,2,Laboratory Technician,Non-Travel,No,3,3,2,3,2,2,9,9,5,4,0,3,No
Research & Development,2,Manufacturing Director,Non-Travel,No,4,3,4,1,3,0,18,2,11,9,0,9,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,2,1,1,2,6,0,5,3,0,4,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,1,3,3,3,8,8,4,3,0,3,No
Human Resources,2,Human Resources,Non-Travel,No,3,4,1,4,4,3,10,7,4,3,0,3,No
Research & Development,2,Research Scientist,Travel_Frequently,Yes,3,3,3,4,3,2,10,4,8,7,0,7,No
Research & Development,4,Research Director,Travel_Rarely,No,3,3,4,4,3,2,36,3,10,9,0,9,No
Sales,2,Sales Executive,Travel_Rarely,No,3,2,4,3,3,2,13,5,6,1,0,5,No
Research & Development,5,Research Director,Travel_Rarely,No,3,1,4,3,3,2,25,3,8,7,0,7,No
Sales,3,Sales Executive,Travel_Rarely,Yes,3,4,3,4,3,3,10,0,9,8,0,8,No
Sales,5,Manager,Travel_Rarely,No,3,2,2,4,3,2,26,2,11,4,0,8,No
Research & Development,3,Healthcare Representative,Non-Travel,No,4,3,3,3,3,2,13,3,6,4,0,5,No
Research & Development,4,Manufacturing Director,Travel_Frequently,Yes,3,4,3,4,2,3,24,2,5,3,0,2,No
Human Resources,4,Manager,Travel_Rarely,No,3,3,1,3,3,5,21,0,20,7,0,9,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,1,3,1,2,12,9,5,4,0,4,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,4,1,3,3,2,8,0,7,7,0,7,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,2,1,3,3,15,3,5,4,0,1,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,4,4,2,3,7,4,4,3,0,3,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,2,2,4,2,2,7,5,5,4,0,2,No
Research & Development,2,Laboratory Technician,Non-Travel,No,3,3,3,3,4,2,11,3,8,7,0,7,No
Research & Development,3,Healthcare Representative,Travel_Rarely,Yes,3,1,1,2,3,2,24,2,7,7,0,7,No
Sales,2,Sales Executive,Travel_Frequently,No,3,3,1,4,3,2,5,0,4,3,0,3,No
Research & Development,3,Healthcare Representative,Travel_Rarely,No,3,3,2,3,3,3,29,3,8,7,0,7,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,2,2,1,3,5,8,8,5,4,0,2,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,1,1,1,2,11,6,9,7,0,7,Yes
Research & Development,2,Healthcare Representative,Travel_Rarely,No,3,1,1,3,3,3,9,3,7,7,0,7,No
Research & Development,1,Research Scientist,Travel_Rarely,No,4,3,4,4,3,3,8,4,5,4,0,3,No
Research & Development,5,Manager,Travel_Rarely,No,4,2,4,4,3,2,24,8,1,0,0,1,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,4,2,4,3,0,8,5,6,4,0,2,No
Research & Development,2,Laboratory Technician,Travel_Rarely,No,3,2,3,3,3,3,11,0,10,8,0,7,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,3,3,3,2,2,9,3,4,3,0,2,No
Research & Development,3,Manufacturing Director,Travel_Rarely,Yes,3,2,3,4,4,6,10,3,5,4,0,2,No
Human Resources,2,Human Resources,Travel_Frequently,Yes,3,3,4,1,3,3,14,4,10,7,0,2,No
Research & Development,2,Healthcare Representative,Travel_Rarely,No,4,4,1,4,3,3,13,6,5,4,0,4,No
Sales,3,Sales Executive,Travel_Rarely,Yes,3,3,3,4,3,2,21,3,2,0,0,2,No
Research & Development,2,Healthcare Representative,Travel_Rarely,No,3,3,2,3,3,3,19,6,10,7,0,9,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,3,3,4,3,3,17,2,7,7,0,7,No
Sales,3,Sales Executive,Travel_Rarely,Yes,3,3,4,3,2,5,13,4,10,6,0,3,No
Sales,3,Sales Executive,Travel_Rarely,No,3,1,3,4,1,2,10,3,4,3,0,2,No
Human Resources,3,Human Resources,Travel_Rarely,No,4,1,3,3,4,2,9,4,5,0,0,3,No
Research & Development,1,Research Scientist,Travel_Frequently,No,3,2,1,4,3,2,10,0,9,7,0,7,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,4,4,4,1,8,3,5,1,0,4,No
Research & Development,1,Laboratory Technician,Travel_Frequently,No,3,2,2,3,2,4,9,4,6,1,0,5,No
Research & Development,1,Research Scientist,Non-Travel,No,3,3,2,2,3,3,12,2,7,7,0,7,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,4,3,2,2,2,6,7,8,5,3,0,4,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,1,3,2,5,7,4,4,3,0,2,No
Research & Development,2,Laboratory Technician,Travel_Frequently,No,3,3,1,4,2,3,11,4,7,1,0,7,Yes
Research & Development,3,Manufacturing Director,Travel_Rarely,No,3,3,3,1,3,3,9,9,7,7,0,2,No
Research & Development,2,Healthcare Representative,Travel_Rarely,No,3,3,4,3,3,3,12,4,5,3,0,3,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,1,3,2,4,2,6,0,5,4,0,3,No
Research & Development,1,Laboratory Technician,Travel_Frequently,Yes,3,3,4,4,2,3,6,0,5,4,0,2,No
Sales,3,Sales Executive,Travel_Rarely,No,4,3,2,3,3,2,14,5,8,7,0,7,Yes
Research & Development,2,Research Scientist,Travel_Rarely,Yes,4,3,1,4,3,2,16,5,5,3,0,4,No
Sales,2,Sales Executive,Travel_Rarely,No,3,4,3,1,2,5,9,0,8,7,0,7,No
Research & Development,1,Research Scientist,Travel_Frequently,Yes,3,4,3,1,3,2,8,3,4,1,0,3,Yes
Sales,2,Sales Executive,Travel_Rarely,No,3,3,1,2,1,2,6,0,5,3,0,4,No
Research & Development,2,Healthcare Representative,Travel_Rarely,No,3,3,1,1,2,5,6,0,5,3,0,2,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,2,4,3,2,2,6,5,4,1,0,3,Yes
Sales,2,Sales Executive,Travel_Rarely,Yes,4,3,3,1,2,3,6,0,5,3,0,4,No
Research & Development,4,Manufacturing Director,Travel_Rarely,No,4,2,2,1,3,3,21,0,20,7,0,10,No
Sales,2,Sales Executive,Travel_Rarely,No,3,2,2,3,3,5,14,2,5,4,0,4,No
Sales,2,Sales Executive,Travel_Frequently,No,3,3,3,2,3,3,12,7,6,3,0,1,Yes
Sales,2,Sales Executive,Travel_Rarely,No,3,3,3,4,3,3,8,8,5,3,0,1,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,3,3,3,2,20,2,5,3,0,2,No
Research & Development,2,Laboratory Technician,Travel_Rarely,Yes,3,2,2,4,3,2,10,4,4,3,0,3,No
Sales,2,Sales Executive,Travel_Frequently,No,3,2,2,4,2,3,17,2,9,6,0,8,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,1,3,1,2,2,1,1,1,0,0,1,Yes
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,4,4,4,3,2,1,1,1,0,0,1,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,2,3,1,4,2,7,1,7,5,0,7,No
Research & Development,2,Manufacturing Director,Travel_Frequently,No,3,2,2,2,3,3,6,1,6,5,0,3,No
Research & Development,2,Research Scientist,Travel_Rarely,No,3,3,2,2,3,3,10,1,10,4,0,9,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,3,2,3,3,6,1,6,4,0,4,No
Sales,2,Sales Executive,Non-Travel,No,3,3,3,2,4,3,5,1,5,4,0,4,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,2,3,3,3,1,6,1,6,4,0,3,Yes
Research & Development,2,Laboratory Technician,Travel_Frequently,Yes,4,1,3,1,3,3,9,1,9,7,0,6,Yes
Research & Development,1,Research Scientist,Travel_Frequently,No,4,1,3,1,2,2,10,1,10,7,0,9,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,3,1,2,4,5,1,5,4,0,4,No
Sales,3,Sales Executive,Travel_Rarely,No,3,3,2,3,3,3,10,1,10,8,0,6,No
Research & Development,2,Manufacturing Director,Non-Travel,No,3,3,3,4,3,1,10,1,10,7,0,9,No
Research & Development,1,Research Scientist,Non-Travel,Yes,3,2,3,3,2,2,1,1,1,1,0,1,No
Sales,1,Sales Representative,Travel_Rarely,Yes,4,3,2,2,2,5,4,1,4,3,0,2,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,2,4,2,2,7,1,7,7,0,3,No
Sales,2,Sales Executive,Travel_Frequently,No,3,3,3,4,3,2,7,1,7,7,0,7,No
Research & Development,3,Research Director,Travel_Frequently,Yes,3,3,4,2,3,1,10,1,10,8,0,7,No
Sales,3,Sales Executive,Travel_Frequently,No,3,3,3,3,4,3,10,1,10,7,0,8,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,2,4,3,2,3,4,1,4,3,0,1,Yes
Research & Development,1,Laboratory Technician,Travel_Frequently,No,4,4,2,2,1,3,5,1,5,1,0,3,No
Sales,2,Sales Executive,Travel_Frequently,No,3,3,4,2,2,3,10,1,10,7,0,9,No
Research & Development,1,Research Scientist,Travel_Rarely,No,4,3,4,4,3,3,5,1,5,3,0,2,No
Sales,4,Manager,Travel_Rarely,No,3,3,2,4,3,2,22,1,22,10,0,4,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,3,4,3,3,5,1,5,4,0,4,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,1,1,2,2,4,7,1,7,7,0,7,Yes
Sales,2,Sales Executive,Travel_Rarely,No,3,3,2,2,3,3,8,1,8,7,0,7,No
Sales,2,Sales Executive,Non-Travel,No,3,3,3,4,2,3,4,1,4,3,0,2,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,2,3,3,4,8,1,8,0,0,7,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,4,2,3,1,7,1,7,5,0,7,No
Sales,3,Sales Executive,Travel_Rarely,No,3,4,1,2,3,2,10,1,10,7,0,7,No
Research & Development,3,Manufacturing Director,Travel_Rarely,No,4,3,2,3,4,6,13,1,13,8,0,8,No
Research & Development,1,Laboratory Technician,Travel_Frequently,No,3,3,3,3,3,3,8,1,8,3,0,7,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,3,1,3,3,5,1,5,4,0,3,No
Research & Development,5,Research Director,Travel_Rarely,Yes,3,2,3,4,3,5,31,1,31,9,0,9,No
Sales,1,Sales Representative,Travel_Rarely,No,3,3,3,2,3,1,7,1,7,4,0,6,No
Research & Development,2,Research Scientist,Travel_Rarely,Yes,3,3,4,1,2,2,6,1,6,4,0,5,No
Sales,2,Sales Executive,Travel_Frequently,Yes,4,4,4,4,3,3,6,1,6,5,0,4,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,4,4,2,2,10,1,10,7,0,8,No
Research & Development,3,Manufacturing Director,Travel_Rarely,No,3,3,1,3,3,3,9,1,9,7,0,7,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,1,2,4,2,5,1,4,3,0,2,No
Sales,3,Sales Executive,Non-Travel,No,3,2,1,1,3,1,10,1,10,7,0,9,No
Research & Development,1,Research Scientist,Travel_Rarely,No,4,4,3,3,3,3,10,1,10,7,0,7,No
Research & Development,3,Research Director,Travel_Rarely,Yes,3,2,4,3,3,3,9,1,9,8,0,8,No
Sales,2,Sales Executive,Travel_Rarely,No,4,4,1,1,3,5,9,1,9,8,0,8,No
Human Resources,1,Human Resources,Travel_Rarely,No,3,2,4,2,3,6,6,1,5,1,0,4,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,1,3,3,3,5,1,5,3,0,3,No
Sales,3,Sales Executive,Non-Travel,Yes,3,3,2,1,3,2,10,1,10,0,0,9,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,4,3,4,1,1,2,1,1,1,0,0,1,Yes
Research & Development,2,Healthcare Representative,Travel_Rarely,Yes,4,3,4,4,1,2,10,1,10,6,0,7,No
Sales,2,Sales Executive,Travel_Frequently,No,3,2,1,3,3,2,7,1,7,7,0,7,No
Research & Development,2,Laboratory Technician,Non-Travel,No,3,3,2,3,2,5,9,1,9,7,0,8,No
Sales,1,Sales Representative,Travel_Frequently,No,3,3,4,3,3,5,3,1,3,1,0,2,No
Research & Development,2,Laboratory Technician,Non-Travel,Yes,3,3,1,4,3,2,9,1,9,8,0,8,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,4,4,3,0,9,1,9,0,0,7,No
Research & Development,2,Manufacturing Director,Travel_Frequently,No,3,3,1,3,3,1,4,1,4,3,0,3,No
Human Resources,1,Human Resources,Travel_Rarely,No,3,3,2,2,3,3,6,1,6,3,0,4,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,4,3,2,3,3,10,1,10,6,0,8,No
Research & Development,1,Research Scientist,Travel_Frequently,Yes,3,2,3,3,3,2,3,1,3,1,0,2,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,4,4,4,1,3,2,8,1,8,7,0,7,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,4,2,3,5,10,1,10,8,0,8,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,3,3,3,3,4,6,1,6,4,0,2,Yes
Sales,2,Sales Executive,Travel_Frequently,No,3,3,3,2,2,3,10,1,10,7,0,1,No
Research & Development,2,Healthcare Representative,Travel_Rarely,Yes,3,3,1,3,2,2,6,1,6,5,0,1,No
Research & Development,1,Research Scientist,Travel_Frequently,No,3,3,2,3,2,2,12,1,11,10,0,7,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,3,1,3,2,5,1,5,3,0,3,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,4,4,2,3,2,1,1,1,0,0,1,No
Research & Development,1,Research Scientist,Travel_Rarely,No,4,3,3,4,3,2,1,1,1,0,0,1,No
Research & Development,3,Healthcare Representative,Travel_Rarely,No,3,3,4,1,3,2,10,1,10,7,0,5,Yes
Sales,2,Sales Executive,Travel_Rarely,No,3,4,4,3,4,4,10,1,10,7,0,8,No
Research & Development,3,Manager,Travel_Rarely,Yes,4,3,1,2,3,2,9,1,9,1,0,8,No
Human Resources,4,Manager,Travel_Rarely,Yes,3,3,2,3,3,2,33,1,33,9,0,10,No
Research & Development,3,Manufacturing Director,Travel_Rarely,No,3,3,4,4,3,2,11,1,10,9,0,8,No
Sales,2,Sales Executive,Travel_Rarely,No,3,2,1,3,3,0,5,1,5,3,0,4,No
Human Resources,3,Human Resources,Travel_Rarely,No,3,2,1,2,2,3,10,1,10,9,0,9,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,3,4,3,3,5,1,5,4,0,3,No
Sales,2,Sales Executive,Travel_Rarely,No,3,2,3,3,3,3,10,1,10,7,0,4,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,2,2,4,3,2,5,1,5,3,0,2,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,2,4,3,2,5,1,1,1,0,0,1,No
Sales,4,Manager,Travel_Rarely,No,3,4,1,4,1,5,27,1,26,0,0,12,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,2,1,4,3,3,7,1,7,7,0,7,No
Research & Development,2,Manufacturing Director,Travel_Frequently,No,3,4,3,4,3,6,7,1,7,7,0,7,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,2,2,1,2,3,10,1,10,0,0,9,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,4,1,3,2,10,1,10,0,0,2,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,4,3,3,3,1,5,1,5,3,0,4,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,4,2,2,2,10,1,10,0,0,8,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,4,3,1,3,3,2,5,1,5,3,0,4,No
Sales,2,Sales Executive,Non-Travel,Yes,3,3,3,4,3,3,15,1,15,14,0,7,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,2,3,4,3,3,5,1,5,4,0,4,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,4,3,4,6,5,1,5,3,0,3,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,3,1,4,1,4,10,1,10,3,0,8,Yes
Research & Development,2,Laboratory Technician,Travel_Rarely,No,3,3,3,2,3,2,10,1,10,8,0,2,No
Human Resources,2,Human Resources,Travel_Frequently,No,4,2,4,2,2,2,10,1,10,1,0,8,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,3,2,2,2,10,1,10,4,0,9,No
Sales,2,Sales Executive,Travel_Frequently,Yes,3,2,4,3,3,2,7,1,7,7,0,7,No
Research & Development,2,Research Scientist,Travel_Frequently,Yes,3,2,2,4,3,3,20,1,20,11,0,7,No
Research & Development,1,Laboratory Technician,Non-Travel,No,4,4,2,1,3,3,5,1,5,4,0,2,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,4,3,3,2,10,1,10,8,0,9,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,4,4,3,5,7,1,7,7,0,7,No
Sales,2,Sales Executive,Travel_Frequently,Yes,3,3,4,1,3,4,10,1,10,7,0,8,Yes
Research & Development,3,Healthcare Representative,Travel_Rarely,No,3,3,3,1,3,1,10,1,10,9,0,9,No
Research & Development,2,Research Scientist,Travel_Rarely,No,3,3,3,2,3,5,10,1,10,7,0,8,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,1,4,1,3,5,1,5,4,0,4,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,2,3,3,3,4,6,5,4,2,0,3,Yes
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,4,2,1,2,5,7,0,6,2,0,5,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,4,3,4,4,3,4,10,3,4,2,0,3,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,4,3,2,2,3,0,7,6,3,2,0,1,No
Research & Development,3,Manufacturing Director,Travel_Frequently,No,3,1,4,1,3,2,18,2,4,2,0,3,Yes
Research & Development,3,Healthcare Representative,Travel_Rarely,No,3,3,1,4,3,3,17,7,4,2,0,3,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,3,1,4,3,5,8,5,5,2,0,4,Yes
Sales,2,Sales Executive,Travel_Rarely,No,3,3,1,4,3,4,16,2,6,2,0,5,No
Research & Development,2,Laboratory Technician,Travel_Rarely,No,3,2,1,4,3,5,9,4,6,2,0,4,No
Research & Development,1,Research Scientist,Travel_Rarely,No,4,3,4,4,2,3,5,1,5,2,0,4,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,3,4,3,3,4,6,0,5,2,0,3,No
Research & Development,2,Manufacturing Director,Travel_Rarely,No,3,3,4,4,2,2,8,7,6,2,0,4,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,2,4,3,2,5,1,5,2,0,4,No
Sales,2,Sales Executive,Non-Travel,Yes,3,4,4,1,2,3,9,8,5,2,0,4,Yes
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,3,4,4,2,5,1,5,2,0,3,No
Research & Development,3,Research Director,Travel_Rarely,No,3,2,3,2,3,2,10,1,10,2,0,7,No
Research & Development,4,Research Director,Travel_Rarely,No,3,3,3,1,1,2,26,6,3,2,0,1,No
Sales,1,Sales Representative,Travel_Rarely,Yes,3,3,3,3,3,3,8,1,8,2,0,6,No
Research & Development,5,Manager,Travel_Rarely,Yes,3,3,4,4,4,2,26,4,2,2,0,1,No
Human Resources,1,Human Resources,Travel_Rarely,No,3,3,2,3,3,2,8,4,5,2,0,4,No
Sales,2,Sales Executive,Travel_Rarely,No,3,3,4,2,2,3,8,2,5,2,0,3,No
Sales,3,Sales Executive,Travel_Rarely,Yes,3,2,4,1,3,3,35,7,5,2,0,4,No
Sales,2,Sales Executive,Travel_Rarely,No,3,2,1,3,4,1,5,1,5,2,0,3,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,4,2,3,6,8,2,6,2,0,1,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,3,3,1,3,2,7,4,5,2,0,1,Yes
Research & Development,2,Healthcare Representative,Travel_Frequently,No,3,3,4,1,2,1,7,0,6,2,0,4,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,3,1,1,3,3,6,0,5,2,0,3,Yes
Research & Development,5,Research Director,Travel_Rarely,No,3,3,2,4,3,2,25,5,4,2,0,3,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,1,3,3,2,6,0,5,2,0,3,Yes
Research & Development,1,Laboratory Technician,Travel_Rarely,No,4,3,2,2,3,3,7,3,4,2,0,3,No
Research & Development,4,Manufacturing Director,Travel_Rarely,No,3,2,2,4,2,1,29,3,5,2,0,3,No
Research & Development,1,Research Scientist,Travel_Frequently,No,3,4,3,4,3,2,4,1,4,2,0,3,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,3,4,3,2,2,5,7,2,4,2,0,3,No
Research & Development,1,Laboratory Technician,Non-Travel,No,3,2,3,3,3,5,7,3,5,2,0,3,No
Research & Development,2,Healthcare Representative,Travel_Rarely,Yes,3,3,3,1,3,4,10,3,5,2,0,4,No
Sales,2,Sales Executive,Travel_Frequently,No,3,3,1,4,3,3,10,7,5,2,0,3,No
Research & Development,1,Laboratory Technician,Travel_Rarely,Yes,3,3,1,1,1,3,10,3,4,2,0,3,Yes
Sales,2,Sales Executive,Travel_Rarely,No,3,3,4,4,3,5,6,1,6,2,0,4,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,3,3,2,4,2,6,1,5,2,0,3,No
Sales,2,Sales Executive,Travel_Rarely,No,3,2,2,2,3,2,5,1,5,2,0,3,No
Sales,2,Sales Representative,Travel_Rarely,Yes,4,1,4,2,2,4,20,2,4,2,0,3,No
Research & Development,1,Research Scientist,Travel_Rarely,No,4,2,4,2,4,2,19,8,5,2,0,4,No
Sales,2,Sales Executive,Travel_Rarely,Yes,3,2,4,4,2,3,9,3,4,2,0,1,No
Research & Development,2,Healthcare Representative,Travel_Frequently,No,3,3,3,2,3,3,12,4,4,2,0,3,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,4,2,4,0,10,2,5,2,0,3,No
Research & Development,2,Laboratory Technician,Travel_Frequently,No,3,4,4,3,3,3,17,4,5,2,0,3,No
Research & Development,2,Manufacturing Director,Travel_Rarely,Yes,4,4,2,2,3,0,6,1,6,2,0,3,No
Sales,1,Sales Representative,Travel_Rarely,Yes,3,2,3,1,3,2,3,1,3,2,0,2,Yes
Research & Development,3,Research Director,Travel_Rarely,No,3,3,3,1,4,3,16,4,5,2,0,2,No
Human Resources,2,Human Resources,Travel_Rarely,Yes,4,3,2,2,3,2,16,8,4,2,0,2,No
Sales,2,Sales Executive,Travel_Rarely,No,4,3,3,1,2,2,4,0,3,2,0,2,No
Human Resources,1,Human Resources,Travel_Rarely,Yes,4,3,1,3,3,3,7,4,3,2,0,2,Yes
Research & Development,1,Research Scientist,Travel_Rarely,No,3,3,4,3,1,2,5,1,5,2,0,2,No
Research & Development,1,Research Scientist,Travel_Rarely,Yes,4,3,4,3,3,0,7,8,4,2,0,2,No
Research & Development,1,Laboratory Technician,Travel_Rarely,No,3,2,3,3,2,2,5,2,3,2,0,2,No
Research & Development,2,Healthcare Representative,Non-Travel,No,3,2,4,4,1,5,5,9,3,2,0,2,No
Research & Development,1,Research Scientist,Travel_Rarely,No,3,2,4,3,2,2,2,1,2,2,0,2,No
Research & Development,2,Manufacturing Director,Travel_Frequently,No,3,4,3,1,3,1,9,4,3,2,0,2,No
